"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SOX2",0,6.72512218394702,0.701,0.013,0,"Epi"
"FOXD3-AS1",0,6.47534089945665,0.275,0.004,0,"Epi"
"DPPA5",0,6.27854711341508,0.285,0.006,0,"Epi"
"ENSG00000288895",0,6.1431062781658,0.6,0.016,0,"Epi"
"ESRG",0,5.87172585771943,0.756,0.032,0,"Epi"
"HPAT5",0,5.8026478217142,0.648,0.023,0,"Epi"
"LINC00678",0,5.74673773145752,0.441,0.013,0,"Epi"
"ENSG00000258649",0,5.52783536320792,0.321,0.009,0,"Epi"
"SNTG2",0,5.32328541149432,0.674,0.034,0,"Epi"
"DCLK1",0,5.20663700340037,0.467,0.018,0,"Epi"
"ENSG00000231698",0,5.17449509622702,0.294,0.009,0,"Epi"
"ENSG00000254339",0,5.16055595830455,0.478,0.032,0,"Epi"
"MGAT4C",0,5.11193664730469,0.443,0.017,0,"Epi"
"ENSG00000274090",0,5.06440184679059,0.465,0.025,0,"Epi"
"RMST",0,5.06258202611634,0.624,0.033,0,"Epi"
"ENSG00000289479",0,5.03868592073037,0.662,0.039,0,"Epi"
"ENSG00000254277",0,4.91690163094418,0.75,0.05,0,"Epi"
"ENSG00000233290",0,4.87920542107587,0.467,0.021,0,"Epi"
"IRX2",0,4.83752319796143,0.464,0.033,0,"Epi"
"RHBDL3",0,4.80184386057822,0.289,0.012,0,"Epi"
"SMPDL3B",0,4.7801842961287,0.318,0.014,0,"Epi"
"USP44",0,4.75440632851463,0.719,0.054,0,"Epi"
"UNC13A",0,4.63414362671416,0.296,0.012,0,"Epi"
"ENSG00000291111",0,4.57055783928757,0.414,0.02,0,"Epi"
"NMRK2",0,4.5178111686032,0.511,0.032,0,"Epi"
"ENSG00000288749",0,4.51657437374161,0.383,0.021,0,"Epi"
"DOCK3",0,4.37194972701282,0.787,0.083,0,"Epi"
"GABRB3",0,4.36880357409822,0.86,0.112,0,"Epi"
"CSMD2",0,4.36777766654222,0.409,0.023,0,"Epi"
"ENSG00000234261",0,4.33612485410588,0.33,0.02,0,"Epi"
"FOXI3",0,4.3284603251511,0.329,0.019,0,"Epi"
"KCNG3",0,4.31189909459002,0.753,0.079,0,"Epi"
"MIAT",0,4.30117036060297,0.338,0.019,0,"Epi"
"UTF1",0,4.29730080906703,0.275,0.013,0,"Epi"
"ENSG00000289178",1.00827444822367e-240,4.26791834677817,0.261,0.028,3.89254433481231e-236,"Epi"
"LARGE2",0,4.23554681318753,0.282,0.017,0,"Epi"
"CNMD",0,4.18525534708687,0.506,0.038,0,"Epi"
"MIR302CHG",0,4.18115381344037,0.921,0.171,0,"Epi"
"ACOXL",0,4.04713251010552,0.4,0.027,0,"Epi"
"ENSG00000289894",0,4.02057874597077,0.762,0.074,0,"Epi"
"LINC00545",0,3.96482866545738,0.279,0.016,0,"Epi"
"OPCML",0,3.91020156274319,0.591,0.057,0,"Epi"
"TDGF1",0,3.90481690186029,0.716,0.098,0,"Epi"
"TTYH1",0,3.89413282816342,0.302,0.021,0,"Epi"
"PTPRZ1",0,3.84878132182476,0.769,0.093,0,"Epi"
"TMEM132B",0,3.83667180695448,0.338,0.022,0,"Epi"
"CTNNA2",0,3.83432105394291,0.536,0.049,0,"Epi"
"TMEM178B",0,3.82533366943314,0.569,0.048,0,"Epi"
"FRMD5",0,3.79148007608684,0.762,0.086,0,"Epi"
"DANT1",0,3.78863641663286,0.47,0.035,0,"Epi"
"PMAIP1",0,3.78359129338697,0.858,0.163,0,"Epi"
"PCDH1",0,3.7346679943762,0.295,0.021,0,"Epi"
"FAM124A",0,3.72929895208438,0.34,0.024,0,"Epi"
"GAP43",0,3.71198971670706,0.428,0.037,0,"Epi"
"FGF2",0,3.7003148274955,0.794,0.11,0,"Epi"
"ARFGEF3",0,3.67346935756536,0.407,0.035,0,"Epi"
"SFRP2",0,3.65489299187613,0.749,0.074,0,"Epi"
"NKX1-2",0,3.63619198771235,0.322,0.023,0,"Epi"
"NANOG",0,3.62476199436554,0.458,0.032,0,"Epi"
"ZSCAN10",0,3.55340226706723,0.431,0.037,0,"Epi"
"KSR2",0,3.55069592102659,0.289,0.021,0,"Epi"
"GAL",5.18943011436556e-283,3.54596733075911,0.813,0.265,2.00343138995197e-278,"Epi"
"CUX2",0,3.53398520441361,0.481,0.041,0,"Epi"
"PPM1E",0,3.524045934424,0.389,0.034,0,"Epi"
"GDF3",0,3.51754188100474,0.352,0.029,0,"Epi"
"VASH2",0,3.50905191235561,0.586,0.11,0,"Epi"
"C13orf42",0,3.49946794300716,0.328,0.026,0,"Epi"
"GALNT3",0,3.49849697311298,0.464,0.053,0,"Epi"
"SYT6",0,3.4926801660903,0.572,0.06,0,"Epi"
"NELL2",0,3.48565462040847,0.323,0.018,0,"Epi"
"CRABP1",0,3.40664287315113,0.8,0.111,0,"Epi"
"MCTP1",2.60610339060001e-273,3.37837255204636,0.272,0.026,1.00611227497504e-268,"Epi"
"POU5F1",0,3.37703063476437,0.949,0.295,0,"Epi"
"POU5F1B",0,3.35969321024392,0.328,0.029,0,"Epi"
"ZIC2",0,3.35356417344665,0.733,0.117,0,"Epi"
"L1TD1",0,3.33280660759549,0.891,0.189,0,"Epi"
"LINC01405",0,3.32085412584083,0.349,0.038,0,"Epi"
"XKR4",0,3.32049242345561,0.308,0.028,0,"Epi"
"CNTNAP3",2.62550447734581e-282,3.29671604172055,0.279,0.026,1.01360225852412e-277,"Epi"
"KCNS3",0,3.27967611659331,0.335,0.033,0,"Epi"
"CDA",0,3.26816459693969,0.508,0.07,0,"Epi"
"SLC7A3",0,3.26398182416461,0.603,0.081,0,"Epi"
"TSPEAR",1.32112640072619e-265,3.2495062237141,0.268,0.026,5.10034058264354e-261,"Epi"
"DLGAP2",2.04869391300202e-236,3.21564763723202,0.258,0.027,7.9091877205356e-232,"Epi"
"SNHG4",7.29142684713256e-303,3.21312257222188,0.339,0.037,2.814928248604e-298,"Epi"
"GNG4",0,3.21076017615591,0.309,0.029,0,"Epi"
"NEBL",3.04003126475591e-283,3.19698574898809,0.573,0.118,1.17363447007167e-278,"Epi"
"SCG5",0,3.18858305299198,0.47,0.05,0,"Epi"
"GPR176",8.10100644564021e-283,3.17713025389218,0.367,0.046,3.12747454840386e-278,"Epi"
"TOX",0,3.15394121708937,0.603,0.077,0,"Epi"
"DNMT3B",0,3.15122192294053,0.899,0.324,0,"Epi"
"PLPP2",0,3.14483408228851,0.523,0.068,0,"Epi"
"EMSLR",0,3.1280446827655,0.579,0.103,0,"Epi"
"PPP1R1A",0,3.1208008252262,0.496,0.066,0,"Epi"
"CDH4",0,3.11809001344217,0.372,0.035,0,"Epi"
"NRG3",0,3.11485255864595,0.644,0.073,0,"Epi"
"BEND4",0,3.10552760399474,0.319,0.03,0,"Epi"
"CRACR2B",5.02474644575688e-237,3.09502515611011,0.278,0.031,1.9398536128489e-232,"Epi"
"ELAVL2",2.09126474386198e-297,3.08941135016523,0.332,0.035,8.07353667015357e-293,"Epi"
"ENSG00000225889",8.26032131994827e-252,3.07723641807407,0.313,0.037,3.18897964877923e-247,"Epi"
"ENSG00000260834",1.47486566940846e-294,3.07665407021076,0.574,0.116,5.6938664033183e-290,"Epi"
"GRIK5",9.55393398354262e-235,3.05797508918898,0.284,0.033,3.68839175368646e-230,"Epi"
"PMEL",0,3.05442770799346,0.437,0.051,0,"Epi"
"VRTN",0,3.04984102078064,0.591,0.071,0,"Epi"
"NKAIN1",5.7619608450896e-292,3.04312950151875,0.357,0.042,2.22446260385529e-287,"Epi"
"POLR3G",0,3.04205582240338,0.513,0.07,0,"Epi"
"CADM2",0,3.0412634495056,0.549,0.078,0,"Epi"
"MARVELD3",0,3.01591748823299,0.468,0.067,0,"Epi"
"KIAA0825",1.69025250614244e-142,3.00440541069419,0.468,0.139,6.52538882521351e-138,"Epi"
"SBK1",0,3.00295940171136,0.383,0.045,0,"Epi"
"CDCA7L",0,2.99515646125005,0.61,0.089,0,"Epi"
"LINC01896",3.88121110457662e-304,2.98908719094233,0.382,0.046,1.49838035903285e-299,"Epi"
"HTR2C",2.29032152533444e-291,2.98259790870128,0.257,0.021,8.84201528070614e-287,"Epi"
"OLFM2",0,2.98138062208307,0.779,0.151,0,"Epi"
"RAP1GAP2",0,2.97272826122537,0.652,0.108,0,"Epi"
"GSAP",1.38016535283125e-243,2.95640772912115,0.277,0.03,5.32826636114033e-239,"Epi"
"SALL3",0,2.94374846583536,0.606,0.085,0,"Epi"
"ENSG00000289205",4.37901121421171e-287,2.94078854095228,0.355,0.042,1.69056106935857e-282,"Epi"
"ENSG00000203279",0,2.93958436808217,0.682,0.132,0,"Epi"
"PIM2",0,2.92456549183552,0.406,0.051,0,"Epi"
"YBX2",8.42115468350838e-226,2.91049876351832,0.319,0.044,3.25107097711525e-221,"Epi"
"ATCAY",2.37749156851657e-213,2.90351315696196,0.272,0.033,9.17854394941505e-209,"Epi"
"SLAIN1",8.0953928323259e-284,2.89933913653441,0.346,0.041,3.12530735684774e-279,"Epi"
"HES6",2.08807697605651e-290,2.89920895179712,0.4,0.053,8.06122997376377e-286,"Epi"
"CALN1",0,2.88817419848379,0.645,0.109,0,"Epi"
"CACNA1B",0,2.8856837133116,0.484,0.072,0,"Epi"
"CASC15",0,2.87579771329553,0.928,0.232,0,"Epi"
"EBF3",1.42288916126123e-172,2.87091877557136,0.252,0.035,5.49320589596509e-168,"Epi"
"DBNDD1",9.39054138004471e-208,2.86423447713485,0.271,0.034,3.62531240518006e-203,"Epi"
"SAMD12",0,2.84205749954868,0.657,0.106,0,"Epi"
"SCGB3A2",2.11670396277484e-217,2.82534423415095,0.275,0.033,8.17174731868853e-213,"Epi"
"SYT1",8.74760342114876e-258,2.82153690065667,0.55,0.119,3.37709977676869e-253,"Epi"
"PCDH11X",0,2.81834955128678,0.78,0.133,0,"Epi"
"SAMHD1",2.11097765628815e-263,2.81164788421866,0.309,0.034,8.14964033986605e-259,"Epi"
"TSPAN33",8.37963533983092e-229,2.79950294435793,0.305,0.039,3.23504201929513e-224,"Epi"
"SYNGR3",3.31625216519151e-192,2.79933123233208,0.26,0.033,1.28027231089383e-187,"Epi"
